ANO;DOCUMENTO;Nº ;ATO NORMATIVO;EMENTA;ÁREA MMA;ASSUNTO;LINK;STATUS;REVOGA
1995;RESOLUÇÃO CONAMA;8;Resolução CONAMA Nº 008/1995;Cria a Câmara Técnica Temporária para Assuntos de Cerrado e Caatinga;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=186;ATO EXAURIDO;
1995;RESOLUÇÃO CONAMA;9;Resolução CONAMA Nº 009/1995;Cria a Câmara Técnica Temporária para Assuntos da Amazônia;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=187;ATO EXAURIDO;
1995;RESOLUÇÃO CONAMA;10;Resolução CONAMA Nº 010/1995;Cria a Câmara Técnica Temporária de Proteção à Fauna;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=188;ATO EXAURIDO;
1995;RESOLUÇÃO CONAMA;11;Resolução CONAMA Nº 011/1995;Cria a Câmara Técnica Temporária de Educação Ambiental;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=189;ATO EXAURIDO;
1995;RESOLUÇÃO CONAMA;12;Resolução CONAMA Nº 012/1995;Cria a Câmara Técnica Temporária para Assuntos de Mata Atlântica;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=190;ATO EXAURIDO;
1995;RESOLUÇÃO CONAMA;16;Resolução CONAMA Nº 016/1995;Complementa a Resolução CONAMA nº 008/93, que complementa a Resolução nº 018/86, que institui, em caráter nacional, o Programa de Controle da Poluição do Ar por Veículos Automotores - PROCONVE, estabelecendo limites máximos de emissão de poluentes para os motores destinados a veículos pesados novos, nacionais e importados, determinando homologação e certificação de veículos novos do ciclo Diesel quanto ao índice de fumaça em aceleração livre;CONAMA;AGENDA AMBIENTAL URBANA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=194;NÃO CONSTA REVOGAÇÃO EXPRESSA;
1995;RESOLUÇÃO CONAMA;17;Resolução CONAMA Nº 017/1995;Ratifica os limites máximos de emissão de ruído por veículos automotores e o cronograma para seu atendimento previsto na Resolução CONAMA nº 008/93 (art. 20), que complementa a Resolução nº 018/86, que institui, em caráter nacional, o Programa de Controle da Poluição do Ar por Veículos Automotores - PROCONVE, estabelecendo limites máximos de emissão de poluentes para os motores destinados a veículos pesados novos, nacionais e importados;CONAMA;AGENDA AMBIENTAL URBANA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=195;NÃO CONSTA REVOGAÇÃO EXPRESSA;
1995;RESOLUÇÃO CONAMA;21;Resolução CONAMA Nº 021/1995;Revoga a Resolução CONAMA nº 014/89, que acolhe recurso administrativo interposto pelo Instituo de Estudos Amazônicos - IEA e outros contra Ademar Sanches Cordeiro e determina a argüição de nulidade de ato licenciador do IMAC/AC para desmatamento na Fazenda Paloma - Acre;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=199;ATO EXAURIDO;
1996;RESOLUÇÃO CONAMA;1;Resolução CONAMA Nº 001/1996;Institui o calendário de reuniões ordinárias do CONAMA para 1996;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=200;ATO EXAURIDO;
1996;RESOLUÇÃO CONAMA;2;Resolução CONAMA Nº 002/1996 ;Determina a implantação de unidade de conservação de domínio público e uso indireto, preferencialmente Estação Ecológica, a ser exigida em licenciamento de empreendimentos de relevante impacto ambiental, como reparação dos danos ambientais causados pela destruição de florestas e outros ecossistemas, em montante de recursos não inferior a 0,5 % (meio por cento) dos custos totais do empreendimento. Revoga a Resolução CONAMA nº 10/87, que exigia como medida compensatória a implantação de estação ecológica. Revogada pela Resolução nº 371, de 2006.;CONAMA;COMPENSAÇÃO AMBIENTAL;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=201;REVOGADO;
1996;RESOLUÇÃO CONAMA;6;Resolução CONAMA Nº 006/1996;Altera o calendário de Reuniões Ordinárias do CONAMA para 1996;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=205;ATO EXAURIDO;
1996;RESOLUÇÃO CONAMA;21;Resolução CONAMA Nº 021/1996;Suspende a eficácia da Resolução CONAMA Nº. 8, de 11 de outubro de 1996;CONAMA;AGENDA AMBIENTAL URBANA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=220;ATO EXAURIDO;
1996;RESOLUÇÃO CONAMA;22;Resolução CONAMA Nº 022/1996;Revoga a Resolução CONAMA Nº. 8, de 11 de outubro de 1996;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=221;NÃO CONSTA REVOGAÇÃO EXPRESSA;
1996;RESOLUÇÃO CONAMA;23;Resolução CONAMA Nº 023/1996;Regulamenta a importação e uso de resíduos perigosos. Revoga a Resolução nº 37, de 1994. Alterada pelas Resoluções nº 235, de 1998, e nº 244, de 1998. Revogada pela Resolução nº 452, de 2012.;CONAMA;AGENDA AMBIENTAL URBANA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=222;REVOGADO;
1996;RESOLUÇÃO CONAMA;25;Resolução CONAMA Nº 025/1996;Cria Câmara Técnica temporária de Ecoturismo;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=224;ATO EXAURIDO;
1996;RESOLUÇÃO CONAMA;26;Resolução CONAMA Nº 026/1996;Institui calendário de reuniões ordinárias CONAMA para 1997;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=302;ATO EXAURIDO;
1997;DECRETO;2120;Decreto nº 2.120, de 13 de janeiro de 1997;Regulamenta o Conselho Nacional de Meio Ambiente;EXTERNO;CONAMA;http://www.planalto.gov.br/ccivil_03/decreto/D2120.htm;REVOGADO;
1997;RESOLUÇÃO CONAMA;225;Resolução CONAMA Nº 225/1997;Determina a numeração seqüencial das Resoluções do CONAMA;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=225;ATO EXAURIDO;
1997;RESOLUÇÃO CONAMA;228;Resolução CONAMA Nº 228/1997;Dispõe sobre a importação de desperdícios e resíduos de acumuladores elétricos de chumbo;CONAMA;AGENDA AMBIENTAL URBANA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=228;NÃO CONSTA REVOGAÇÃO EXPRESSA;
1997;RESOLUÇÃO CONAMA;232;Resolução CONAMA Nº 232/1997;Renumera as Resoluções nºs 1 e 2/93 do CONAMA;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=232;ATO EXAURIDO;
1997;RESOLUÇÃO CONAMA;234;Resolução CONAMA Nº 234/1997;Altera a redação do art. 3º da Resolução do CONAMA nº 22, de 7 de setembro de 1994. Revogada pela Resolução nº 292, de 2002.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=234;REVOGADO;
1997;RESOLUÇÃO CONAMA;236;Resolução CONAMA Nº 236/1997;Delega competência à Câmara Técnica temporária de Cerrado e Caatinga estabelecer diretrizes;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=236;ATO EXAURIDO;
1998;RESOLUÇÃO CONAMA;235;Resolução CONAMA Nº 235/1998;Altera o anexo 10 da Resolução CONAMA nº 23, de 12 de dezembro de 1996. Revogada pela Resolução nº 452, de 2012.;CONAMA;SEGURANÇA QUÍMICA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=235;REVOGADO;
1998;RESOLUÇÃO CONAMA;243;Resolução CONAMA Nº 243/1998 ;Cria a Câmara Técnica Temporária para Assuntos da Amazônia;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=243;ATO EXAURIDO;
1998;RESOLUÇÃO CONAMA;244;Resolução CONAMA Nº 244/1998;Exclui item do anexo 10 da Resolução CONAMA nº 23, de 12 de dezembro de 1996. Revogada pela Resolução nº 452, de 2012.;CONAMA;SEGURANÇA QUÍMICA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=244;REVOGADO;
1998;RESOLUÇÃO CONAMA;246;Resolução CONAMA Nº 246/1998;Cria a Câmara Técnica Temporária para Assuntos da Proteção à Fauna ;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=246;ATO EXAURIDO;
1999;RESOLUÇÃO CONAMA;253;Resolução CONAMA Nº 253/1999 ;Prorroga a validade, por mais 01 (um) ano de diversas Câmaras Técnicas;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=253;ATO EXAURIDO;
1999;RESOLUÇÃO CONAMA;254;Resolução CONAMA Nº 254/1999;Cria Câmara Técnica Temporária para atualização do Código Florestal;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=254;ATO EXAURIDO;
1999;RESOLUÇÃO CONAMA;257;Resolução CONAMA Nº 257/1999;Estabelece que pilhas e baterias que contenham em suas composições chumbo, cádmio, mercúrio e seus compostos, tenham os procedimentos de reutilização, reciclagem, tratamento ou disposição final ambientalmente adequados.  Alterada pela Resolução nº 263, de 1999. Revogada pela Resolução nº 401, de 2008.;CONAMA;AGENDA AMBIENTAL URBANA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=257;REVOGADO;
1999;RESOLUÇÃO CONAMA;260;Resolução CONAMA Nº 260/1999;Cria o Grupo de Trabalho sobre Organismos Geneticamente Modificados;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=259;ATO EXAURIDO;
1999;RESOLUÇÃO CONAMA;264;Resolução CONAMA Nº 264/1999;Licenciamento de fornos rotativos de produção de clínquer para atividades de co-processamento de resíduos;CONAMA;LICENCIAMENTO AMBIENTAL;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=262;NÃO CONSTA REVOGAÇÃO EXPRESSA;
2000;DECRETO;3550;Decreto nº 3.550, de 27 de julho de 2000;Dá nova redação a dispositivos do Decreto no 98.816, de 11 de janeiro de 1990, que dispõe sobre a pesquisa, a experimentação, a produção, a embalagem e rotulagem, o transporte, o armazenamento, a comercialização, a propaganda comercial, a utilização, a importação, a exportação, o destino final dos resíduos e embalagens, o registro, a classificação, o controle, a inspeção e a fiscalização de agrotóxicos, seus componentes e afins.;EXTERNO;USO DE AGROTÓXICOS;http://www.planalto.gov.br/ccivil_03/decreto/D3550.htm;REVOGADO;
2000;LEI;9974;Lei nº 9.974, de 06 de junho de 2000;Altera a Lei no 7.802, de 11 de julho de 1989, que dispõe sobre a pesquisa, a experimentação, a produção, a embalagem e rotulagem, o transporte, o armazenamento, a comercialização, a propaganda comercial, a utilização, a importação, a exportação, o destino final dos resíduos e embalagens, o registro, a classificação, o controle, a inspeção e a fiscalização de agrotóxicos, seus componentes e afins, e dá outras providências.;EXTERNO;USO DE AGROTÓXICOS;http://www.planalto.gov.br/ccivil_03/LEIS/L9974.htm;NÃO CONSTA REVOGAÇÃO EXPRESSA;
2000;RESOLUÇÃO CONAMA;269;Resolução CONAMA Nº 269/2000;Regulamenta o uso de dispersantes químicos em derrames de óleo no mar. Revogada pela Resolução CONAMA nº 472, de 27 de novembro de 2015.;CONAMA;POLUIÇÃO MARINHA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=267;REVOGADO;
2000;RESOLUÇÃO CONAMA;270;Resolução CONAMA Nº 270/2000;Prorroga a Câmara Técnica Temporária de Atualização do Código Florestal;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=268;ATO EXAURIDO;
2000;RESOLUÇÃO CONAMA;271;Resolução CONAMA Nº 271/2000;Prorroga duração das atividades de Câmaras Técnicas Temporárias;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=269;ATO EXAURIDO;
2001;RESOLUÇÃO CONAMA;275;Resolução CONAMA Nº 275/2001;Estabelece código de cores para diferentes tipos de resíduos na coleta seletiva;CONAMA;AGENDA AMBIENTAL URBANA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=273;NÃO CONSTA REVOGAÇÃO EXPRESSA;
2001;RESOLUÇÃO CONAMA;277;Resolução CONAMA Nº 277/2001 ;Institui o calendário de Reuniões Ordinárias do CONAMA para 2001. - Revogada pela Resolução nº 280, de 2001. ;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=275;REVOGADO;
2001;RESOLUÇÃO CONAMA;280;Resolução CONAMA Nº 280/2001 ;Institui o novo calendário de Reuniões Ordinárias do CONAMA para 2001 -FINALIDADE CUMPRIDA ;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=278;ATO EXAURIDO;
2001;RESOLUÇÃO CONAMA;283;Resolução CONAMA Nº 283/2001;Dispõe sobre o tratamento e a destinação final dos resíduos dos serviços de saúde. - Revogada pela Resolução nº 358, de 2005. ;CONAMA;AGENDA AMBIENTAL URBANA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=281;REVOGADO;
2002;DECRETO;4074;Decreto nº 4.074, de 04 de janeiro de 2002;Regulamenta a Lei no 7.802, de 11 de julho de 1989, que dispõe sobre a pesquisa, a experimentação, a produção, a embalagem e rotulagem, o transporte, o armazenamento, a comercialização, a propaganda comercial, a utilização, a importação, a exportação, o destino final dos resíduos e embalagens, o registro, a classificação, o controle, a inspeção e a fiscalização de agrotóxicos, seus componentes e afins;EXTERNO;USO DE AGROTÓXICOS;http://www.planalto.gov.br/cciViL_03/decreto/2002/D4074.htm;NÃO CONSTA REVOGAÇÃO EXPRESSA;
2002;INSTRUÇÃO NORMATIVA IBAMA;8;Instrução Normativa IBAMA nº 08, de 15 de maio de 2002;Institutir no ambito do Ibama, os procedimentos necessários ao cumprimento da Resolução CONAMA nº 258 de 26/08/1999, quanto ao cadastramento de fabricantes e importadores de pneumáticos para uso em veículos automotores e bicicletas, assim como o cadastramento de processadores e destinadores penumáticos de veículos;IBAMA;AGENDA AMBIENTAL URBANA;http://www.ibama.gov.br/component/legislacao/?view=legislacao&legislacao=108431;REVOGADO;
2002;INSTRUÇÃO NORMATIVA IBAMA;21;Instrução Normativa IBAMA nº 21, de 25 de setembro de 2002;Estabelece critérios para aplicação do disposto no parágrafo único do art., 3º da resolução nº 258, de 26 de agosto de 1999 do Conselho Nacional do Meio Ambiente - CONAMA;IBAMA;AGENDA AMBIENTAL URBANA;http://www.ibama.gov.br/component/legislacao/?view=legislacao&legislacao=109254;REVOGADO;
2002;RESOLUÇÃO CONAMA;304;Resolução CONAMA Nº 304/2002 ;"Dispõe sobre a data da 66ª Reunião Ordinária do Conama"" - FINALIDADE CUMPRIDA ";CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=303;ATO EXAURIDO;
2002;RESOLUÇÃO CONAMA;307;Resolução CONAMA Nº 307/2002 ;Estabelece diretrizes, critérios e procedimentos para a gestão dos resíduos da construção civil- Alterada pelas Resoluções nsº 348/2004, 431/2011, 448/2012 e 469/2015 ;CONAMA;AGENDA AMBIENTAL URBANA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=305;NÃO CONSTA REVOGAÇÃO EXPRESSA;
2002;RESOLUÇÃO CONAMA;308;Resolução CONAMA Nº 308/2002;Licenciamento Ambiental de sistemas de disposição final dos resíduos sólidos urbanos gerados em municípios de pequeno porte. Revogada pela Resolução nº 404, de 2008. ;CONAMA;LICENCIAMENTO AMBIENTAL;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=326;REVOGADO;
2002;RESOLUÇÃO CONAMA;311;Resolução CONAMA Nº 311/2002;Prorroga o prazo dos Grupos de Trabalho para analisar e propor alternativas às questões específicas sobre as Áreas de Preservação Permanente-APPs e altera o nome de Grupo de Trabalho;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=329;ATO EXAURIDO;
2002;RESOLUÇÃO CONAMA;313;Resolução CONAMA Nº 313/2002 ;Dispõe sobre o Inventário Nacional de Resíduos Sólidos Industriais;CONAMA;AGENDA AMBIENTAL URBANA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=331;NÃO CONSTA REVOGAÇÃO EXPRESSA;
2002;RESOLUÇÃO CONAMA;314;Resolução CONAMA Nº 314/2002;Dispõe sobre o registro de produtos destinados à remediação e dá outras providências - Revogada pela Resolução CONAMA nº 463/2014. ;CONAMA;SEGURANÇA QUÍMICA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=332;REVOGADO;
2002;RESOLUÇÃO CONAMA;316;Resolução CONAMA Nº 316/2002;"Dispõe sobre procedimentos e critérios para o funcionamento de sistemas de tratamento térmico de resíduos.
Alterada pela Resolução nº 386, de 2006. ";CONAMA;AGENDA AMBIENTAL URBANA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=334;NÃO CONSTA REVOGAÇÃO EXPRESSA;
2002;RESOLUÇÃO CONAMA;318;Resolução CONAMA Nº 318/2002;Prorroga o prazo estabelecido no Art. 15 da Resolução CONAMA Nº 289, de 25 de outubro de 2001, que estabelece diretrizes para o Licenciamento Ambiental de Projetos de Assentamentos de Reforma Agrária - Revogada pela Resolução nº 356, de 2004. ;CONAMA;LICENCIAMENTO AMBIENTAL;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=336;REVOGADO;
2002;RESOLUÇÃO CONAMA;319;Resolução CONAMA Nº 319/2002;Dá nova redação a dispositivos da Resolução CONAMA Nº 273, de 29 de novembro de 2000, que dispõe sobre prevenção e controle da poluição em postos de combustíveis e serviços;CONAMA;AGENDA AMBIENTAL URBANA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=337;NÃO CONSTA REVOGAÇÃO EXPRESSA;
2002;RESOLUÇÃO CONAMA;320;Resolução CONAMA Nº 320/2002;Institui o Calendário de Reuniões Ordinárias do CONAMA para o ano de 2003.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=338;ATO EXAURIDO;
2003;DECRETO;4581;Decreto nº 4.581, de 27 de janeiro de 2003;	Promulga a Emenda ao Anexo I e Adoção dos Anexos VIII e IX à Convenção de Basiléia sobre o Controle do Movimento Transfronteiriço de Resíduos Perigosos e seu Depósito.;EXTERNO;SEGURANÇA QUÍMICA;http://www.planalto.gov.br/ccivil_03/decreto/2003/D4581.htm;NÃO CONSTA REVOGAÇÃO EXPRESSA;
2003;RESOLUÇÃO CONAMA;321;Resolução CONAMA Nº 321/2003;Dispõe sobre alteração da Resolução CONAMA 226, de 20 de agosto de 1997, que trata sobre especificações do óleo diesel comercial, bem como das regiões de distribuição;CONAMA;AGENDA AMBIENTAL URBANA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=339;NÃO CONSTA REVOGAÇÃO EXPRESSA;
2003;RESOLUÇÃO CONAMA;322;Resolução CONAMA Nº 322/2003 ;Dispõe sobre alteração na data de realização da 69ª Reunião Ordinária do CONAMA - FINALIDADE CUMPRIDA ;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=340;ATO EXAURIDO;
2003;RESOLUÇÃO CONAMA;323;Resolução CONAMA Nº 323/2003;Institui a Câmara Técnica de Biodiversidade, Fauna e Recursos Pesqueiros. -Alterada pelas Resoluções nº 360, de 2005, e nº 376, de 2006.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=341;ATO EXAURIDO;
2003;RESOLUÇÃO CONAMA;324;Resolução CONAMA Nº 324/2003 ;Institui a Câmara Técnica de Florestas e Atividades Agrossilvopastoris. - Alterada pelas Resoluções nº 360, de 2005, e nº 376, de 2006. ;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=342;ATO EXAURIDO;
2003;RESOLUÇÃO CONAMA;325;Resolução CONAMA Nº 325/2003;Institui a Câmara Técnica de Atividades Minerárias, Energéticas e de Infra-Estrutura. - Alterada pelas Resoluções nº 360, de 2005, e nº 376, de 2006. ;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=343;ATO EXAURIDO;
2003;RESOLUÇÃO CONAMA;326;Resolução CONAMA Nº 326/2003;Institui a Câmara Técnica de Gestão Territorial e Biomas- Alterada pelas Resoluções nº 360, de 2005, e nº 376, de 2006. ;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=344;ATO EXAURIDO;
2003;RESOLUÇÃO CONAMA;327;Resolução CONAMA Nº 327/2003;Institui a Câmara Técnica de Educação Ambiental.- Alterada pelas Resoluções nº 360, de 2005, e nº 376, de 2006. ;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=345;ATO EXAURIDO;
2003;RESOLUÇÃO CONAMA;328;Resolução CONAMA Nº 328/2003;"Institui a Câmara Técnica de Economia e Meio Ambiente"".- Alterada pelas Resoluções nº 360, de 2005, e nº 376, de 2006. ";CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=346;ATO EXAURIDO;
2003;RESOLUÇÃO CONAMA;329;Resolução CONAMA Nº 329/2003;Institui a Câmara Técnica de Assuntos Jurídicos. - Alterada pelas Resoluções nº 360, de 2005, e nº 376, de 2006.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=347;ATO EXAURIDO;
2003;RESOLUÇÃO CONAMA;330;Resolução CONAMA Nº 330/2003;Institui a Câmara Técnica de Saúde, Saneamento Ambiental e Gestão de Resíduos. - Alterada pelas Resoluções nº 360, de 2005, e nº 376, de 2006.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=348;ATO EXAURIDO;
2003;RESOLUÇÃO CONAMA;331;Resolução CONAMA Nº 331/2003 ;Institui a Câmara Técnica de Unidades de Conservação e demais Áreas Protegidas - Alterada pelas Resoluções nº 360, de 2005, e nº 376, de 2006. ;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=349;ATO EXAURIDO;
2003;RESOLUÇÃO CONAMA;332;Resolução CONAMA Nº 332/2003;Institui a Câmara Técnica de Assuntos Internacionais - Alterada pelas Resoluções nº 360, de 2005, e nº 376, de 2006. ;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=350;ATO EXAURIDO;
2003;RESOLUÇÃO CONAMA;333;Resolução CONAMA Nº 333/2003 ;"Institui a Câmara Técnica de Controle e Qualidade Ambiental"".  - Alterada pelas Resoluções nº 360, de 2005 e nº 376, de 2006. ";CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=351;NÃO CONSTA REVOGAÇÃO EXPRESSA;
2003;RESOLUÇÃO CONAMA;334;Resolução CONAMA Nº 334/2003 ;Dispõe sobre os procedimentos de licenciamento ambiental de estabelecimentos destinados ao recebimento de embalagens vazias de agrotóxicos - Revogada pela Resolução CONAMA nº 465/2014 ;CONAMA;LICENCIAMENTO AMBIENTAL;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=352;REVOGADO;
2003;RESOLUÇÃO CONAMA;336;Resolução CONAMA Nº 336/2003;Dispõe sobre a revogação das Resoluções CONAMA nºs 005, de 9 de outubro de 1995 e 288, de 12 de julho de 2001;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=356;NÃO CONSTA REVOGAÇÃO EXPRESSA;
2003;RESOLUÇÃO CONAMA;337;Resolução CONAMA Nº 337/2003 ;Alterar a data da 70º Reunião Ordinária.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=358;ATO EXAURIDO;
2004;INSTRUÇÃO NORMATIVA IBAMA;37;Instrução Normativa IBAMA nº 37, de 29 de junho de 2004;"Dispõe sobre a obrigatoriedade de todo produtor, importador, exportador, comercializador e usuário de quaisquer das substâncias, controladas ou alternativas pelo Protocolo de Montreal, bem como os centros de coleta e armazenamento e centros de regeneração ou reciclagem, pessoas físicas ou jurídicas, devem estar registradas no Cadastro Técnico Federal.
REVOGADO POR INSTRUÇÃO NORMATIVA Nº 5 DE 14 DE FEVEREIRO DE 2018";IBAMA;CLIMA;https://servicos.ibama.gov.br/ctf/manual/html/041200.htm;REVOGADO;
2004;RESOLUÇÃO CONAMA;343;Resolução CONAMA Nº 343/2004 ;Institui o calendário de reuniões ordinárias do CONAMA para o ano de 2004.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=434;ATO EXAURIDO;
2004;RESOLUÇÃO CONAMA;345;Resolução CONAMA Nº 345/2004 ;Altera para os dias 6 e 7 de julho de 2004 a data da 74a Reunião Ordinária do CONAMA prevista para os dias 23 e 24 de junho de 2004 na Resolução no 343, de 7 de janeiro de 2004- FINALIDADE CUMPRIDA ;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=437;ATO EXAURIDO;
2004;RESOLUÇÃO CONAMA;346;Resolução CONAMA Nº 346/2004;"Disciplina a utilização das abelhas silvestres nativas, bem como a implantação de meliponários.
REVOGADA POR RESOLUÇÃO CONAMA Nº 496, DE 19 DE AGOSTO DE 2020";CONAMA;BIODIVERSIDADE;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=439;REVOGADO;
2004;RESOLUÇÃO CONAMA;348;Resolução CONAMA Nº 348/2004 ;Altera a Resolução CONAMA no 307, de 5 de julho de 2002, incluindo o amianto na classe de resíduos perigosos.;CONAMA;AGENDA AMBIENTAL URBANA / SEGURANÇA QUÍMICA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=440;NÃO CONSTA REVOGAÇÃO EXPRESSA;
2004;RESOLUÇÃO CONAMA;351;Resolução CONAMA Nº 351/2004 ;Adia a realização da 75a Reunião Ordinária do CONAMA.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=444;ATO EXAURIDO;
2004;RESOLUÇÃO CONAMA;352;Resolução CONAMA Nº 352/2004;Realizar nos dias 10 e 11 de novembro de 2004 a 75ª Reunião Ordinária do CONAMA;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=445;ATO EXAURIDO;
2004;RESOLUÇÃO CONAMA;353;Resolução CONAMA Nº 353/2004 ;Alterar para os dias 14 e 15 de dezembro de 2004 a data da 76a Reunião Ordinária do CONAMA;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=446;ATO EXAURIDO;
2004;RESOLUÇÃO CONAMA;355;Resolução CONAMA Nº 355/2004 ;Institui o calendário de reuniões ordinárias do CONAMA para o ano de 2005.;CONAMA;CONAMA;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=449;ATO EXAURIDO;
2004;RESOLUÇÃO CONAMA;356;Resolução CONAMA Nº 356/2004 ;"Prorroga o prazo estabelecido no art. 15 da Resolução CONAMA nº 289, de 25 de outubro de 2001, que estabelece diretrizes para o Licenciamento Ambiental de Projetos de Assentamentos de Reforma Agrária.
Revogada pela Resolução nº 387, de 2006. ";CONAMA;LICENCIAMENTO AMBIENTAL;http://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=448;REVOGADO;
